"","host_response_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","availability_365","number_of_reviews","first_review","last_review","review_scores_rating","calculated_host_listings_count","date_diff"
"1","N/A","f",1,"t","Little Portugal",43.64617,-79.42451,"f","House","Entire home/apt",10,3,5,7,"Real Bed","$469.00","$1,000.00","$150.00",1,4,730,0,7,"2015-07-19","2017-12-04",100,1,869
"2","0%","f",2,"f","Downtown Toronto",43.64105,-79.37628,"t","Apartment","Private room",2,1.5,1,1,"Real Bed","$101.00","$2,693.00","",1,180,365,0,169,"2009-08-20","2013-08-27",97,2,1468
"3","N/A","f",1,"t","The Annex",43.66724,-79.41598,"t","House","Private room",1,1.5,1,1,"Pull-out Sofa","$67.00","$134.00","$27.00",1,1,10,0,0,"","",NA,1,NA
"4","100%","t",2,"t","Fairbank",43.69602,-79.45468,"t","House","Private room",3,1,1,1,"Real Bed","$73.00","$0.00","$0.00",2,1,28,211,209,"2010-05-31","2019-04-23",95,2,3249
"5","N/A","f",1,"t","Greenwood-Coxwell",43.6689,-79.32592,"t","Apartment","Entire home/apt",1,1,0,1,"Real Bed","$54.00","","",2,120,365,0,26,"2010-06-07","2011-08-30",98,1,449
"6","0%","f",2,"f","Harbourfront",43.64151,-79.37643,"t","Apartment","Entire home/apt",2,1.5,1,2,"Real Bed","$135.00","$4,040.00","",1,180,365,365,1,"2010-08-11","2010-08-11",100,2,0
"7","100%","f",3,"f","Parkdale",43.63532,-79.44049,"t","House","Entire home/apt",5,1,2,2,"Real Bed","$150.00","$750.00","$125.00",2,30,365,352,101,"2010-08-03","2019-05-05",92,3,3197
"8","100%","f",2,"t","Oakridge",43.69458,-79.28681,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$68.00","","$40.00",2,2,730,155,79,"2016-11-27","2019-04-28",94,2,882
"9","100%","t",1,"t","Wexford/Maryvale",43.74858,-79.29111,"t","Bungalow","Entire home/apt",4,1,2,2,"Real Bed","$110.00","$150.00","$0.00",1,2,90,365,26,"2017-01-04","2019-05-03",99,1,849
"10","100%","f",16,"t","Rosedale",43.67185,-79.38583,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$119.00","$0.00","$75.00",2,1,365,306,49,"2010-10-04","2019-04-27",80,12,3127
"11","100%","f",16,"t","Rosedale",43.67136,-79.38598,"t","Apartment","Private room",2,1,1,1,"Real Bed","$110.00","$0.00","$60.00",1,1,365,353,8,"2011-09-22","2017-08-27",80,12,2166
"12","100%","f",16,"t","Garden District",43.65972,-79.38172,"t","Condominium","Entire home/apt",3,1,0,1,"Real Bed","$110.00","$0.00","$82.00",2,1,365,282,65,"2010-10-29","2019-02-01",80,12,3017
"13","100%","f",16,"t","Rosedale",43.67191,-79.38585,"t","Apartment","Private room",2,1,1,1,"Real Bed","$105.00","$0.00","$50.00",1,1,365,339,9,"2011-09-17","2018-09-02",83,12,2542
"14","100%","f",16,"t","Rosedale",43.67105,-79.38481,"t","Apartment","Private room",2,1,1,1,"Real Bed","$90.00","$0.00","$70.00",1,1,365,339,17,"2010-10-10","2018-09-23",86,12,2905
"15","100%","f",16,"t","Downtown Toronto",43.66899,-79.38548,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$145.00","$0.00","$80.00",2,1,365,311,43,"2010-11-20","2019-03-31",92,12,3053
"16","100%","t",1,"t","Niagara",43.64296,-79.40451,"t","Condominium","Private room",2,1,1,1,"Real Bed","$55.00","$500.00","$25.00",1,91,125,179,24,"2016-08-10","2018-11-11",98,1,823
"17","96%","t",16,"t","Harbourfront",43.64214,-79.37994,"t","Condominium","Entire home/apt",5,2,3,3,"Real Bed","$175.00","$0.00","$150.00",1,28,365,61,0,"","",NA,15,NA
"18","96%","t",16,"t","Downtown Toronto",43.64527,-79.37615,"t","Apartment","Entire home/apt",4,2,2,2,"Real Bed","$140.00","$0.00","$150.00",1,60,365,62,1,"2014-08-02","2014-08-02",100,15,0
"19","100%","f",1,"f","Downtown Toronto",43.65955,-79.36701,"t","Townhouse","Entire home/apt",9,2.5,4,5,"Real Bed","$350.00","$500.00","$150.00",8,3,365,69,82,"2011-01-29","2019-04-08",96,1,2991
"20","100%","t",5,"f","Niagara",43.6444,-79.40829,"t","House","Private room",1,0.5,1,1,"Real Bed","$64.00","$200.00","",1,50,365,275,15,"2011-01-01","2017-06-30",94,5,2372
"21","100%","t",2,"t","Dufferin Grove",43.65853,-79.42709,"t","House","Private room",1,1,1,1,"Real Bed","$56.00","$0.00","$45.00",1,2,30,314,56,"2011-05-09","2019-05-01",98,2,2914
"22","100%","f",16,"t","Rosedale",43.67094,-79.38581,"t","Serviced apartment","Entire home/apt",3,1,1,1,"Real Bed","$145.00","$0.00","$72.00",2,1,365,314,37,"2011-02-07","2018-11-11",92,12,2834
"23","100%","f",2,"t","Dufferin Grove",43.65956,-79.43228,"t","House","Entire home/apt",2,1,1,1,"Real Bed","$145.00","$0.00","$80.00",2,4,365,4,272,"2011-03-20","2018-08-04",97,2,2694
"24","100%","f",1,"t","Niagara",43.64171,-79.40469,"t","Apartment","Entire home/apt",2,NA,1,1,"Real Bed","$107.00","$250.00","$50.00",1,30,365,340,29,"2011-04-17","2016-09-23",96,1,1986
"25","N/A","f",1,"f","Niagara",43.64457,-79.40451,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$145.00","$500.00","$75.00",1,3,60,0,6,"2013-09-09","2018-08-20",87,1,1806
"26","100%","f",16,"t","Downtown Toronto",43.67033,-79.38612,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$145.00","$0.00","$50.00",2,1,365,338,24,"2011-09-04","2017-07-02",89,12,2128
"27","100%","t",2,"t","Fairbank",43.69662,-79.45325,"t","House","Private room",1,1,1,1,"Real Bed","$62.00","$0.00","$0.00",1,1,28,248,83,"2011-11-21","2019-04-21",92,2,2708
"28","100%","t",1,"t","Niagara",43.64458,-79.41022,"t","Townhouse","Entire home/apt",5,2,3,3,"Real Bed","$230.00","$400.00","$80.00",4,3,30,146,110,"2013-10-28","2019-04-21",99,1,2001
"29","90%","f",1,"t","Toronto Islands",43.63266,-79.35616,"t","House","Entire home/apt",5,1,2,3,"Real Bed","$300.00","$750.00","$75.00",4,2,13,15,56,"2011-07-25","2019-01-20",99,1,2736
"30","100%","f",1,"t","Riverdale",43.66527,-79.32934,"t","House","Entire home/apt",6,2,2,2,"Real Bed","$175.00","$500.00","$75.00",4,5,12,242,17,"2011-08-07","2017-08-12",98,1,2197
"31","100%","f",1,"t","The Annex",43.67175,-79.40398,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$160.00","$350.00","$60.00",1,2,10,0,6,"2015-09-27","2018-10-08",100,1,1107
"32","N/A","f",3,"f","High Park North",43.65623,-79.46667,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$55.00","$200.00","$65.00",2,120,1125,218,12,"2012-01-15","2017-03-05",98,1,1876
"33","100%","f",1,"t","Downtown Toronto",43.64123,-79.39339,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$102.00","$200.00","$150.00",2,5,1000,0,32,"2011-05-25","2019-05-04",90,1,2901
"34","100%","f",3,"f","Parkdale",43.63559,-79.44048,"t","House","Entire home/apt",2,1,2,2,"Real Bed","$250.00","$2,000.00","$125.00",4,90,1124,339,76,"2011-06-02","2018-09-16",96,3,2663
"35","100%","t",1,"f","Danforth Village",43.68872,-79.3299,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$89.00","$0.00","$0.00",2,5,200,0,100,"2013-06-10","2018-08-13",94,1,1890
"36","100%","t",1,"t","Yonge Eglinton",43.7037,-79.4082,"t","Apartment","Private room",2,1,2,1,"Real Bed","$60.00","$0.00","$0.00",2,1,5,360,124,"2011-09-13","2019-04-07",94,1,2763
"37","N/A","f",2,"t","Niagara",43.63633,-79.40076,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$74.00","$900.00","$0.00",1,154,367,94,5,"2015-07-02","2019-01-30",90,1,1308
"38","100%","f",2,"t","Palmerston/Little Italy",43.65781,-79.42065,"t","House","Entire home/apt",6,1.5,3,3,"Real Bed","$240.00","$250.00","$125.00",4,5,1125,4,10,"2011-09-18","2017-08-12",95,2,2155
"39","100%","t",1,"t","Downtown Toronto",43.65687,-79.37495,"t","Apartment","Private room",2,1,1,1,"Real Bed","$83.00","$119.00","$11.00",1,2,90,68,279,"2012-11-03","2019-05-05",98,1,2374
"40","N/A","f",1,"f","Little Portugal",43.64776,-79.42709,"t","House","Entire home/apt",4,1,3,4,"Real Bed","$180.00","","$80.00",1,3,7,0,5,"2011-08-28","2016-10-07",100,1,1867
"41","N/A","f",1,"t","Downtown Toronto",43.64551,-79.39274,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$119.00","","$100.00",2,6,3000,126,7,"2011-07-11","2015-06-28",97,1,1448
"42","100%","f",2,"f","Downtown Toronto",43.64835,-79.36302,"t","Townhouse","Private room",1,1,1,1,"Real Bed","$81.00","","",1,3,365,279,22,"2011-07-19","2018-03-31",97,1,2447
"43","100%","f",1,"t","Swansea",43.64618,-79.48833,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$81.00","$250.00","$100.00",1,4,365,186,29,"2012-07-18","2018-06-29",98,1,2172
"44","N/A","f",1,"t","Downtown Toronto",43.64366,-79.39155,"t","Condominium","Entire home/apt",4,2,2,2,"Real Bed","$248.00","$300.00","$150.00",4,3,365,199,50,"2011-07-14","2018-09-28",90,1,2633
"45","50%","f",1,"t","Downtown Toronto",43.67039,-79.38578,"t","Condominium","Entire home/apt",2,1,1,2,"Real Bed","$93.00","$300.00","$50.00",1,180,365,364,67,"2011-08-11","2018-02-10",96,1,2375
"46","100%","t",1,"t","Downtown Toronto",43.65557,-79.40019,"t","Apartment","Private room",2,1,1,1,"Futon","$99.00","$0.00","$30.00",1,1,365,365,122,"2011-07-28","2019-03-17",94,1,2789
"47","N/A","f",1,"t","Willowdale",43.76329,-79.41105,"t","Condominium","Shared room",1,1,1,1,"Real Bed","$50.00","","$100.00",1,1,365,177,0,"","",NA,1,NA
"48","100%","f",1,"f","Downsview",43.74098,-79.48724,"t","House","Private room",2,1,1,1,"Real Bed","$81.00","$0.00","$20.00",1,2,30,347,15,"2014-08-05","2018-09-29",97,1,1516
"49","N/A","f",2,"f","Scarborough City Centre",43.78076,-79.24788,"t","Condominium","Entire home/apt",4,1,2,2,"Real Bed","$81.00","$200.00","$80.00",2,2,31,0,0,"","",NA,2,NA
"50","100%","f",2,"t","Cedarvale Humewood",43.68683,-79.42274,"t","House","Entire home/apt",2,1,1,1,"Real Bed","$97.00","$500.00","$150.00",2,90,1125,156,21,"2012-02-01","2019-04-30",95,2,2645
"51","100%","f",1,"f","The Beaches",43.67254,-79.30023,"t","House","Entire home/apt",4,1.5,2,2,"Real Bed","$180.00","","",1,120,365,51,9,"2011-09-05","2012-07-22",100,1,321
"52","100%","t",5,"f","Downtown Toronto",43.66932,-79.38525,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$189.00","$3,000.00","$70.00",2,90,1125,0,56,"2011-08-26","2016-12-17",98,1,1940
"53","100%","t",2,"t","Roncesvalles",43.64558,-79.44938,"f","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$154.00","$500.00","$25.00",2,3,60,12,20,"2013-03-31","2018-09-01",93,2,1980
"54","100%","t",2,"f","The Junction",43.66597,-79.47388,"t","Guest suite","Entire home/apt",3,1,2,2,"Real Bed","$115.00","$200.00","$50.00",2,4,1125,254,101,"2011-09-26","2018-12-26",98,2,2648
"55","N/A","f",1,"t","Parkdale",43.64217,-79.42848,"t","Condominium","Private room",1,2,2,2,"Real Bed","$48.00","$250.00","",1,29,1125,339,1,"2014-04-01","2014-04-01",100,1,0
"56","100%","f",1,"t","Oakridge",43.69447,-79.28794,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$75.00","$500.00","$75.00",2,7,600,217,12,"2016-08-18","2018-02-28",98,1,559
"57","100%","f",3,"t","Stonegate-Queensway",43.63978,-79.50473,"t","Bungalow","Private room",2,1,1,1,"Real Bed","$60.00","$0.00","$25.00",1,1,365,274,23,"2012-05-26","2019-03-31",96,3,2500
